"pattern","path","line","text"
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\FINAL_TTS_STATUS_REPORT.json","6","""problem"": ""Kokoro generating 2.32s audio instead of 28s for legacy-format scripts"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\FINAL_TTS_STATUS_REPORT.json","22","""Added logging: TTS_REQUEST_TEXT_WORDS, KOKORO_AUDIO_DURATION"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\FINAL_TTS_STATUS_REPORT.json","61","""kokoro"": ""✅ Working correctly - generates appropriate audio for all legacy scripts"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\FINAL_TTS_STATUS_REPORT.json","62","""edge_tts"": ""✅ Fallback available if Kokoro generates insufficient audio"""
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\FINAL_TTS_STATUS_REPORT.json","67","""symptom"": ""FFmpeg limiting output to 1s instead of audio duration"","
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\FINAL_TTS_STATUS_REPORT.json","68","""root_cause"": ""FFmpeg -t parameter set to 1.42s regardless of audio duration"","
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\FINAL_TTS_STATUS_REPORT.json","88","""notes"": ""TTS fix is complete. Additional issues with FFmpeg rendering and caption synchronization prevent end-to-end video generation. These are separate pipeline issues requiring independent fixes."""
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\generate-captions-fallback.js","7","* cuando ffprobe no está disponible."
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\generate-captions-fallback.js","26","console.log(`║  GENERATE CAPTIONS FALLBACK (No FFprobe)             ║`);"
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\generate-with-edge-tts.js","3","* Generate video with Edge TTS fallback to avoid Kokoro render issues"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\HYPERFRAME_DELIVERABLE.json","163","""action"": ""Implement Level 1 (FFmpeg visual effects)"","
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\HYPERFRAME_DELIVERABLE.json","190","""summary"": ""The Hyperframe Visual Simulation System has been successfully implemented at Level 0. It automatically generates visual emphasis metadata for all script segments when caption-sync is active. The system integrates seamlessly with the existing pipeline (caption-sync → hyperframe-engine → metadata) without any breaking changes. All QC, scheduling, and publishing systems remain unchanged. The metadata is ready for implementing visual effects in FFmpeg (Levels 1-4) on demand. The system is production-ready and tested."""
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\03862159-5c70-418e-bb90-1d84948e6bca\pipeline-metrics.json","22","""provider"": ""kokoro"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\03862159-5c70-418e-bb90-1d84948e6bca\qc.json","15","""source"": ""ffprobe"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\058d05f4-2842-4680-85e1-789b2aa5f470\pipeline-metrics.json","22","""provider"": ""kokoro"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\058d05f4-2842-4680-85e1-789b2aa5f470\qc.json","15","""source"": ""ffprobe"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\0bc823c5-8382-4e63-8b90-76422da08a61\pipeline-metrics.json","22","""provider"": ""kokoro"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\0bc823c5-8382-4e63-8b90-76422da08a61\qc.json","15","""source"": ""ffprobe"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\0d90a0ac-3e42-4b35-b4eb-572e5b3592b3\pipeline-metrics.json","22","""provider"": ""kokoro"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\0d90a0ac-3e42-4b35-b4eb-572e5b3592b3\qc.json","15","""source"": ""ffprobe"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\140ca2ee-19d6-4909-b991-db98de1c0e70\pipeline-metrics.json","22","""provider"": ""kokoro"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\140ca2ee-19d6-4909-b991-db98de1c0e70\qc.json","15","""source"": ""ffprobe"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\21067cff-e9cc-4294-af6a-124d2edec70c\pipeline-metrics.json","22","""provider"": ""kokoro"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\21067cff-e9cc-4294-af6a-124d2edec70c\qc.json","15","""source"": ""ffprobe"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\2785549f-2626-4ca1-b782-ea27cac6cff2\pipeline-metrics.json","22","""provider"": ""kokoro"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\2785549f-2626-4ca1-b782-ea27cac6cff2\qc.json","15","""source"": ""ffprobe"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\27a8c5f4-fa01-4d14-86a3-133439f9415d\pipeline-metrics.json","22","""provider"": ""kokoro"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\27a8c5f4-fa01-4d14-86a3-133439f9415d\qc.json","15","""source"": ""ffprobe"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\2a7d4f13-11ee-4710-b7c5-2e07e5ec7687\pipeline-metrics.json","22","""provider"": ""kokoro"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\2a7d4f13-11ee-4710-b7c5-2e07e5ec7687\qc.json","15","""source"": ""ffprobe"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\2f61072d-85ff-48ff-a1c1-183cf0f3de79\pipeline-metrics.json","22","""provider"": ""kokoro"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\2f61072d-85ff-48ff-a1c1-183cf0f3de79\qc.json","15","""source"": ""ffprobe"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\31175e7c-127a-40cb-92a1-560a673f1eb4\pipeline-metrics.json","22","""provider"": ""kokoro"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\31175e7c-127a-40cb-92a1-560a673f1eb4\qc.json","15","""source"": ""ffprobe"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\output-fase1-test\3422f756-8ecb-480a-8a12-371c21a0aec2\pipeline-metrics.json","22","""provider"": ""kokoro"","
